speech_id,keybert_keywords
CREC-2023-01-09-pt1-PgE3-4-2,"['district', 'represent', 'amendment', 'columbia', 'citizenship']"
CREC-2023-01-09-pt1-PgH76-0,"['rescind', 'balances']"
CREC-2023-01-09-pt1-PgH76-9,"['days', 'revise', 'consent']"
CREC-2023-01-09-pt1-PgH76-12,"['democrats', 'income', 'auditing', 'repeals', 'federal']"
CREC-2023-01-09-pt1-PgH76-13,"['airlines', 'retirements', 'modernization', 'burden', 'filing']"
CREC-2023-01-09-pt1-PgH76-15,"['earners', 'medicare', 'legislation', 'trillion', 'deficit']"
CREC-2023-01-09-pt1-PgH76-16,"['allocation', 'plan', 'incomes', 'compliance', 'irs']"
CREC-2023-01-09-pt1-PgH76-17,"['ways', 'carolina', 'member', 'yield', 'minute']"
CREC-2023-01-09-pt1-PgH76-18,"['livelihoods', 'irs']"
CREC-2023-01-09-pt1-PgH76-19,"['yield', 'doggett', 'minute', 'tax']"
CREC-2023-01-09-pt1-PgH76-20,"['laws', 'richest', 'republican', 'defund', 'deficit']"
CREC-2023-01-09-pt1-PgH76-21,"['earners', 'nonpartisan', 'audits']"
CREC-2023-01-09-pt1-PgH76-23,"['ms', 'yield', 'minute', 'van', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-24,"['democrats', 'inflation']"
CREC-2023-01-09-pt1-PgH76-25,"['policy', 'fraud', 'income', 'veto', 'deficit']"
CREC-2023-01-09-pt1-PgH76-26,"['114', 'cbo', 'deficit']"
CREC-2023-01-09-pt1-PgH76-30,"['burden', 'scrutiny', 'audits', '1099', 'income']"
CREC-2023-01-09-pt1-PgH76-31,"['ways', 'member', 'valued', 'california', 'yield']"
CREC-2023-01-09-pt1-PgH76-32,['irs']
CREC-2023-01-09-pt1-PgH76-33,"['estes', 'mr', 'kansas', 'yield', 'minute']"
CREC-2023-01-09-pt1-PgH76-34,"['relief', 'inflation', 'commonsense', 'audit', 'democrats']"
CREC-2023-01-09-pt1-PgH76-35,"['maryland', 'audited']"
CREC-2023-01-09-pt1-PgH76-36,['dividends']
CREC-2023-01-09-pt1-PgH76-37,"['incomes', 'enforcement', 'ira', 'nonpartisan', 'paycheck']"
CREC-2023-01-09-pt1-PgH76-38,"['mr', 'yield', 'smith', 'minutes', 'missouri']"
CREC-2023-01-09-pt1-PgH76-39,"['targeted', 'billions', 'repeal', 'inflation', 'irs']"
CREC-2023-01-09-pt1-PgH76-40,"['manafort', 'representatives', 'income', 'audit', 'falsehoods']"
CREC-2023-01-09-pt1-PgH76-41,"['2022', 'evaders', 'factcheck', 'irs']"
CREC-2023-01-09-pt1-PgH76-44,"['ways', 'member', 'connecticut', 'yield', 'larson']"
CREC-2023-01-09-pt1-PgH76-45,"['hartford', 'paycheck', 'entitlements']"
CREC-2023-01-09-pt1-PgH76-47,"['member', 'mr', 'yield', 'illinois', 'lahood']"
CREC-2023-01-09-pt1-PgH76-48,"['inflation', 'illinois', 'democrats']"
CREC-2023-01-09-pt1-PgH76-49,"['burden', 'agency', 'audited', 'reconciliation', 'income']"
CREC-2023-01-09-pt1-PgH76-50,"['agency', 'senate', 'inflation', 'deficit', 'auditing']"
CREC-2023-01-09-pt1-PgH76-51,"['ways', 'member', 'yield', 'oregon', 'blumenauer']"
CREC-2023-01-09-pt1-PgH76-52,"['deficit', 'irs']"
CREC-2023-01-09-pt1-PgH76-53,"['ways', 'member', 'yield', 'kustoff', 'tennessee']"
CREC-2023-01-09-pt1-PgH76-54,"['households', 'relief', 'republican', 'prohibit', 'audits']"
CREC-2023-01-09-pt1-PgH76-55,"['mr', 'jersey', 'yield', 'pascrell']"
CREC-2023-01-09-pt1-PgH76-56,"['gop', 'deficit']"
CREC-2023-01-09-pt1-PgH76-57,"['ways', 'hern', 'yield', 'oklahoma', 'minute']"
CREC-2023-01-09-pt1-PgH76-58,"['audits', 'income']"
CREC-2023-01-09-pt1-PgH76-59,"['yield', 'mr', 'member', 'minute', 'illinois']"
CREC-2023-01-09-pt1-PgH76-60,['tax']
CREC-2023-01-09-pt1-PgH76-61,"['initiatives', 'sector', 'levels', 'auditing', 'tax']"
CREC-2023-01-09-pt1-PgH76-62,"['means', 'yield', 'virginia', 'miller', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-63,"['benefit', 'americans', 'democrat', 'inflation', 'auditing']"
