Loading and preprocessing data...
Training hLDA model...
Iteration 1/300, Log-likelihood per word: -8.6507
Iteration 2/300, Log-likelihood per word: -8.5769
Iteration 3/300, Log-likelihood per word: -8.5361
Iteration 4/300, Log-likelihood per word: -8.5064
Iteration 5/300, Log-likelihood per word: -8.4590
Iteration 6/300, Log-likelihood per word: -8.3675
Iteration 7/300, Log-likelihood per word: -8.2031
Iteration 8/300, Log-likelihood per word: -7.9812
Iteration 9/300, Log-likelihood per word: -7.7811
Iteration 10/300, Log-likelihood per word: -7.6643
Iteration 11/300, Log-likelihood per word: -7.6050
Iteration 12/300, Log-likelihood per word: -7.5682
Iteration 13/300, Log-likelihood per word: -7.5405
Iteration 14/300, Log-likelihood per word: -7.5186
Iteration 15/300, Log-likelihood per word: -7.5012
Iteration 16/300, Log-likelihood per word: -7.4865
Iteration 17/300, Log-likelihood per word: -7.4740
Iteration 18/300, Log-likelihood per word: -7.4623
Iteration 19/300, Log-likelihood per word: -7.4515
Iteration 20/300, Log-likelihood per word: -7.4420
Iteration 21/300, Log-likelihood per word: -7.4338
Iteration 22/300, Log-likelihood per word: -7.4264
Iteration 23/300, Log-likelihood per word: -7.4199
Iteration 24/300, Log-likelihood per word: -7.4149
Iteration 25/300, Log-likelihood per word: -7.4109
Iteration 26/300, Log-likelihood per word: -7.4079
Iteration 27/300, Log-likelihood per word: -7.4054
Iteration 28/300, Log-likelihood per word: -7.4032
Iteration 29/300, Log-likelihood per word: -7.4016
Iteration 30/300, Log-likelihood per word: -7.3998
Iteration 31/300, Log-likelihood per word: -7.3988
Iteration 32/300, Log-likelihood per word: -7.3975
Iteration 33/300, Log-likelihood per word: -7.3959
Iteration 34/300, Log-likelihood per word: -7.3945
Iteration 35/300, Log-likelihood per word: -7.3934
Iteration 36/300, Log-likelihood per word: -7.3926
Iteration 37/300, Log-likelihood per word: -7.3916
Iteration 38/300, Log-likelihood per word: -7.3906
Iteration 39/300, Log-likelihood per word: -7.3896
Iteration 40/300, Log-likelihood per word: -7.3889
Iteration 41/300, Log-likelihood per word: -7.3881
Iteration 42/300, Log-likelihood per word: -7.3870
Iteration 43/300, Log-likelihood per word: -7.3859
Iteration 44/300, Log-likelihood per word: -7.3851
Iteration 45/300, Log-likelihood per word: -7.3844
Iteration 46/300, Log-likelihood per word: -7.3840
Iteration 47/300, Log-likelihood per word: -7.3834
Iteration 48/300, Log-likelihood per word: -7.3823
Iteration 49/300, Log-likelihood per word: -7.3816
Iteration 50/300, Log-likelihood per word: -7.3807
Iteration 51/300, Log-likelihood per word: -7.3798
Iteration 52/300, Log-likelihood per word: -7.3789
Iteration 53/300, Log-likelihood per word: -7.3781
Iteration 54/300, Log-likelihood per word: -7.3774
Iteration 55/300, Log-likelihood per word: -7.3765
Iteration 56/300, Log-likelihood per word: -7.3756
Iteration 57/300, Log-likelihood per word: -7.3748
