policy_area,gpt_label,document_index,new_subtopic
Government Operations and Politics,D.C. Governance and Voting Rights Issues,0,D.C. Statehood Legislation
Government Operations and Politics,D.C. Governance and Voting Rights Issues,1295,D.C. Statehood Legislation
Government Operations and Politics,D.C. Governance and Voting Rights Issues,64,D.C. Legislative Home Rule
Government Operations and Politics,D.C. Governance and Voting Rights Issues,134,SEC Real Estate Authority Revocation
Government Operations and Politics,D.C. Governance and Voting Rights Issues,469,D.C. Police Home Rule Act
Government Operations and Politics,D.C. Governance and Voting Rights Issues,470,D.C. National Guard Control
Government Operations and Politics,D.C. Governance and Voting Rights Issues,487,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,488,Voting Rights and Immigration
Government Operations and Politics,D.C. Governance and Voting Rights Issues,489,D.C. Governance and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,490,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,491,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,504,Voting Rights for Noncitizens
Government Operations and Politics,D.C. Governance and Voting Rights Issues,492,D.C. Governance and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,493,Voting Rights and Citizenship
Government Operations and Politics,D.C. Governance and Voting Rights Issues,494,Voting Rights for Illegal Aliens
Government Operations and Politics,D.C. Governance and Voting Rights Issues,495,Voting Rights and Local Democracy
Government Operations and Politics,D.C. Governance and Voting Rights Issues,496,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,497,Voting Rights and Integrity
Government Operations and Politics,D.C. Governance and Voting Rights Issues,507,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,498,D.C. Governance and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,499,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,500,Voting Rights in Washington D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,501,Border Security and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,502,D.C. Statehood and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,503,Voting Rights Policy Debate
Government Operations and Politics,D.C. Governance and Voting Rights Issues,506,D.C. Statehood and home rule rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,509,Crime and Public Safety
Government Operations and Politics,D.C. Governance and Voting Rights Issues,510,D.C. Governance and Voting Rights
Government Operations and Politics,D.C. Governance and Voting Rights Issues,511,Voting Rights and Governance
Government Operations and Politics,D.C. Governance and Voting Rights Issues,512,D.C. Crime Legislation Opposition
Government Operations and Politics,D.C. Governance and Voting Rights Issues,513,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,514,Voting Representation in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,1110,Voting Representation in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,515,Voting Rights and Crime
Government Operations and Politics,D.C. Governance and Voting Rights Issues,516,Voting Rights in D.C.
Government Operations and Politics,D.C. Governance and Voting Rights Issues,518,Violent Crime and Bail Policy
Government Operations and Politics,D.C. Governance and Voting Rights Issues,546,Crime and Public Safety
Government Operations and Politics,D.C. Governance and Voting Rights Issues,547,Public Safety Concerns
Government Operations and Politics,D.C. Governance and Voting Rights Issues,550,Crime and Public Safety
Government Operations and Politics,D.C. Governance and Voting Rights Issues,554,D.C. Governance and Voting Rights Issues
Government Operations and Politics,D.C. Governance and Voting Rights Issues,557,Crime Prevention in D.C.
