matching_idx,policy_area,subtopic_1,subtopic_2
0,Government Operations and Politics,Expanding D.C. Statehood Rights,D.C. Statehood Rights
1,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
2,Education,Increasing Education Funding,Diversity in STEM Jobs
3,Government Operations and Politics,Strengthening Government Accountability,Cloud Computing Innovation
4,Government Operations and Politics,Strengthening Government Accountability,Cloud Cloud Security
5,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Reform
6,Government Operations and Politics,Strengthening Government Accountability,Cloud Technology Security
7,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Legislation
8,Economics and Public Finance,Increasing Government Spending Accountability,Budget Transparency
9,Economics and Public Finance,Increasing Government Spending Accountability,Budget Transparency
10,Economics and Public Finance,Increasing Government Spending Accountability,Budget Transparency
11,Economics and Public Finance,Increasing Pandemic Relief Funding,Vaccine Funding Accountability
12,Economics and Public Finance,Increasing Pandemic Relief Funding,COVID Vaccine Rollout
13,Economics and Public Finance,Increasing Pandemic Relief Funding,Vaccine Delivery
14,Government Operations and Politics,Strengthening Government Accountability,Inspector General Accountability
15,Government Operations and Politics,Strengthening Government Accountability,Inspector General Accountability
16,Government Operations and Politics,Strengthening Government Accountability,Inspector General Accountability
17,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
18,Government Operations and Politics,Strengthening Government Accountability,Government Procurement Reform
19,Government Operations and Politics,Strengthening Government Accountability,Government Procurement Reform
20,Government Operations and Politics,Strengthening Government Accountability,Government Procurement Reform
21,Government Operations and Politics,Strengthening Government Accountability,Bipartisan Procurement Reform
22,Government Operations and Politics,Strengthening Government Accountability,Settlement Transparency
23,Government Operations and Politics,Strengthening Government Accountability,Settlement Transparency
24,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
25,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
26,Government Operations and Politics,Strengthening Government Accountability,Parliamentary Accountability
27,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
28,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
29,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
30,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
31,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
32,Government Operations and Politics,Strengthening Government Accountability,Joint Session Abundance
33,Government Operations and Politics,Strengthening Government Accountability,Electoral Process Reform
34,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
35,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
36,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
37,Government Operations and Politics,Increasing Election Security Measures,Election Integrity
38,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
39,Government Operations and Politics,Voting Rights Expansion,Voter Registration Restrictions
40,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
41,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
42,Government Operations and Politics,Strengthening Government Accountability,Electoral College Accountability
43,Government Operations and Politics,Strengthening Government Accountability,Electoral College Authority
44,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
45,Government Operations and Politics,Increasing Election Security Measures,Election Fraud Accountability
46,Government Operations and Politics,Increasing Election Security Measures,Ballot Fraud Prevention
47,Government Operations and Politics,Strengthening Government Accountability,Democracy Reform
48,Government Operations and Politics,Strengthening Government Accountability,Violence and Violence Prevention
49,Government Operations and Politics,Strengthening Government Accountability,Democracy in Crisis
50,Government Operations and Politics,Strengthening Government Accountability,Violent Violence in Elections
51,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
52,Government Operations and Politics,Voting Rights Expansion,Noncitizen Voting Rights
53,Government Operations and Politics,Increasing Election Security Measures,Electoral Democracy
54,Government Operations and Politics,Strengthening Government Accountability,Peaceful Transition of Power
55,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
56,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
57,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
58,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
59,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
60,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
61,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
62,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
63,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
64,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
65,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
66,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
67,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
68,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
69,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
70,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
71,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
72,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
73,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
74,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
75,Government Operations and Politics,Increasing Election Security Measures,Election Fraud Prevention
76,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
77,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
78,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
79,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
80,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
81,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
82,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
83,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
84,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
85,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
86,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
87,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
88,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
89,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
90,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
91,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
92,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
93,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
94,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
95,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
96,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
97,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
