speech_id,keybert_keywords
CREC-2023-01-09-pt1-PgE3-4-2,"['washington douglass commonwealth', 'statehood commitment', 'washington district clause', 'american citizens congress', 'residents voted statehood']"
CREC-2023-01-09-pt1-PgH76-0,"['rescind', 'house resolution', 'certain balances', 'service ask immediate', 'available internal revenue']"
CREC-2023-01-09-pt1-PgH76-9,"['remarks include extraneous', 'consent', 'ask unanimous', 'members legislative', 'days revise extend']"
CREC-2023-01-09-pt1-PgH76-12,"['new irs employees', 'irs funding', 'need reform irs', 'audit exponentially americans', 'americans open legislative']"
CREC-2023-01-09-pt1-PgH76-13,"['according congressional budget', 'irs agents let', 'modernize tax', 'chairman neal irs', 'deficit legislation number']"
CREC-2023-01-09-pt1-PgH76-15,"['tax wage', 'vote tonight irs', 'equal federal deficit', 'irs continually maneuvered', 'withholding taxes american']"
CREC-2023-01-09-pt1-PgH76-16,"['restore irs enforcement', 'commitment rebuilding irs', 'billion irs funding', 'irs proposal includes', 'tax compliance agenda']"
CREC-2023-01-09-pt1-PgH76-17,"['member ways means', 'murphy', 'gentleman north carolina', 'means committee', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-18,"['business taxpayer protection', 'irs focusing doing', 'fear irs agents', 'small business taxpayer', 'democrats used irs']"
CREC-2023-01-09-pt1-PgH76-19,"['texas', 'mr doggett', 'intends talk tax', 'yield minute', 'tax gap']"
CREC-2023-01-09-pt1-PgH76-20,"['enforced tax laws', 'trump don pay', 'republican drive defund', '160 billion taxes', 'cheating possible republican']"
CREC-2023-01-09-pt1-PgH76-21,"['new audits', 'income american taxpayers', 'irs come lower', 'billion revenue democrats', 'irs audits grab']"
CREC-2023-01-09-pt1-PgH76-23,"['yield', 'texas ms', 'minute', 'gentlewoman', 'van duyne']"
CREC-2023-01-09-pt1-PgH76-24,"['irs larger pentagon', 'border agents', 'irs think agree', 'border agents overwhelmed', 'funding inflated irs']"
CREC-2023-01-09-pt1-PgH76-25,"['services irs rescinding', 'cutting taxes hard', 'protects wealthy tax', 'irs rescind funding', 'cheat taxes evade']"
CREC-2023-01-09-pt1-PgH76-26,"['score showing add', '114 billion', 'federal', 'include record cbo', 'deficit 10 years']"
CREC-2023-01-09-pt1-PgH76-30,"['stereotypes irs perceived', 'current irs staffing', 'improvements irs irs', 'tax evaders supporting', 'irs does resources']"
CREC-2023-01-09-pt1-PgH76-31,"['member ways means', 'thompson valued', 'gentleman california', 'means committee', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-32,"['irs performance', 'irs doesn funding', 'utter nonsense taxes', 'cut irs budget', 'aisle demonize irs']"
CREC-2023-01-09-pt1-PgH76-33,"['estes', 'mr', 'kansas', 'yield', 'minute']"
CREC-2023-01-09-pt1-PgH76-34,"['army irs agents', 'padding coffers irs', 'supercharged irs investigate', 'eliminates devastating irs', 'irs provision democrats']"
CREC-2023-01-09-pt1-PgH76-35,"['majority', 'thank gentleman kansas', 'minute distinguished gentleman', 'maryland mr hoyer', 'people audited people']"
CREC-2023-01-09-pt1-PgH76-36,"['share chairman noted', 'american taxpayer ought', 'pay fair share', 'debate irs', 'irs lends dishonest']"
CREC-2023-01-09-pt1-PgH76-37,"['irs funding increase', 'supercharging irs', 'irs enforcement budget', 'audits democrats voted', 'audits democrats']"
CREC-2023-01-09-pt1-PgH76-38,"['yield', 'mr', 'smith', 'minutes', 'missouri']"
CREC-2023-01-09-pt1-PgH76-39,"['inflation reduction act', 'tax returns thousands', 'americans leaked taxpayer', 'irs oversight democrats', 'taxpayers targeted just']"
CREC-2023-01-09-pt1-PgH76-40,"['undermine irs ability', 'funding irs repeating', 'house gop misleading', 'honest taxpayers policymakers', 'audited house republicans']"
CREC-2023-01-09-pt1-PgH76-41,"['enforcement', 'factcheck org article', '18 2022 irs', 'people hired going', 'income tax evaders']"
CREC-2023-01-09-pt1-PgH76-44,"['gentleman', 'member ways means', 'connecticut mr', 'larson distinguished', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-45,"['earned benefits', 'isn shielding wealthiest', 'gentleman massachusetts think', 'hartford fooled understand', 'pay taxes']"
CREC-2023-01-09-pt1-PgH76-47,"['member ways means', 'gentleman', 'illinois', 'mr lahood', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-48,"['business taxpayer protection', 'supercharged irs prioritizes', 'unprocessed tax returns', 'tax audits irs', 'illinois need tax']"
CREC-2023-01-09-pt1-PgH76-49,"['representatives confirming irs', 'irs fewer line', 'requirements irs fewer', 'impartially enforcing tax', 'agency american taxpayers']"
CREC-2023-01-09-pt1-PgH76-50,"['yellen irs commissioner', 'irs resources initiate', 'improving taxpayer', 'audit rates rise', 'increase audits small']"
